title,author,advisor,year,handle,link
Alkalmazásfejlesztés Android platformra,"Alexa, Bence","Adamkó, Attila",2016,2437/226148,https://dea.lib.unideb.hu/handle/2437/226148
Android alkalmazásfejlesztés,"Balázs, Viktor","Adamkó, Attila",2018,2437/261380,https://dea.lib.unideb.hu/handle/2437/261380
Android alkalmazásfejlesztés,"Balogh, István; Kaszab, Imre; Tarr, Bence","Adamkó, Attila",2017,2437/239660,https://dea.lib.unideb.hu/handle/2437/239660
Android alkalmazásfejlesztés,"Bugjó, Krisztián Roland","Adamkó, Attila",2020,2437/286674,https://dea.lib.unideb.hu/handle/2437/286674
Android alkalmazásfejlesztés IoT területen,"Bakos, Dávid","Adamkó, Attila",2016,2437/226190,https://dea.lib.unideb.hu/handle/2437/226190
Android alkalmazásfejlesztés SMART monitoring,"Kovács, Arnold Szilveszter","Adamkó, Attila",2018,2437/250870,https://dea.lib.unideb.hu/handle/2437/250870
Android Application Development,"Angic, Batuhan","Adamkó, Attila",2014-05-19T08:17:04Z,2437/192606,https://dea.lib.unideb.hu/handle/2437/192606
Android customizálás mesterfokon,"Sápi, Attila","Adamkó, Attila",2014-01-17T11:21:50Z,2437/178689,https://dea.lib.unideb.hu/handle/2437/178689
Android game development,"Gerisgen, Ferit","Adamkó, Attila",2016,2437/232855,https://dea.lib.unideb.hu/handle/2437/232855
Android Role-Playing Game,"Nagy, István Zoltán","Adamkó, Attila",2021,2437/307419,https://dea.lib.unideb.hu/handle/2437/307419
Android és Java EE szolgáltatás alapokon,"Orbán, István","Adamkó, Attila",2018,2437/250640,https://dea.lib.unideb.hu/handle/2437/250640
Autódiagnosztikai alkalmazás fejlesztése Android platformra,"Posta, Márió Bálint","Adamkó, Attila",2017,2437/245985,https://dea.lib.unideb.hu/handle/2437/245985
Beltéri navigációs megoldások Android operációs rendszeren,"Uszkai, Sándor","Adamkó, Attila",2017,2437/245536,https://dea.lib.unideb.hu/handle/2437/245536
Dokumentumtár alkalmazás fejlesztése,"Komló, Tibor","Adamkó, Attila",2023,2437/350457,https://dea.lib.unideb.hu/handle/2437/350457
Dokumentumtár alkalmazás fejlesztése,"Kiss-Imre, Dalma","Adamkó, Attila",2023,2437/350332,https://dea.lib.unideb.hu/handle/2437/350332
Internetes alkalmazás fejlesztése FLEX és PHP alapokon,"Forray, Mihály","Adamkó, Attila",2011-12-28T12:30:44Z,2437/120185,https://dea.lib.unideb.hu/handle/2437/120185
Keresztplatformos HTML5 alkalmazás fejlesztő eszközök,"Hajdu, Attila","Adamkó, Attila",2013-06-06T08:35:36Z,2437/170362,https://dea.lib.unideb.hu/handle/2437/170362
Korszerű alkalmazásfejlesztés mobil platformon,"Uszkai, Sándor","Adamkó, Attila",2020,2437/286906,https://dea.lib.unideb.hu/handle/2437/286906
Környezeti jellemzők vizsgálata IoT technológiák felhasználásával és alkalmazásfejlesztés,"Vasváry, Gábor","Adamkó, Attila",2020,2437/298715,https://dea.lib.unideb.hu/handle/2437/298715
Közösségi Média Alkalmazás Fejlesztése Modellvezérelt Módon,"Salagvárdi, Tibor","Adamkó, Attila",2018,2437/252071,https://dea.lib.unideb.hu/handle/2437/252071
Module Based Development on Android,"Sotaya, Yakubu","Adamkó, Attila",2013-12-03T09:09:41Z,2437/177313,https://dea.lib.unideb.hu/handle/2437/177313
Smart Campus - Android és Java EE alapokon,"Kovács-Ferenc, Norbert; Bak, Balázs; Erdei, Krisztián; Fekete, Attila; Holozsnyák, Nándor Kristóf","Adamkó, Attila",2017,2437/240398,https://dea.lib.unideb.hu/handle/2437/240398
Smart Campus - Android és Java EE alapokon,"Holozsnyák, Nándor Kristóf; Bak Balázs; Erdei Krisztián; Fekete Attila; Kovács-Ferenc Norbert","Adamkó, Attila",2017,2437/240397,https://dea.lib.unideb.hu/handle/2437/240397
Szemantikus web alkalmazás - Szakterületi Glosszárium,"Nagy, Géza","Adamkó, Attila",2010-01-25T08:25:26Z,2437/91336,https://dea.lib.unideb.hu/handle/2437/91336
Sziklamászás tematikájú Android alkalmazás fejlesztése,"Firneisz, Áron Ákos","Adamkó, Attila",2023,2437/350744,https://dea.lib.unideb.hu/handle/2437/350744
Szoftverfüggőségek kezelésére szolgáló alkalmazás tervezése és fejlesztése,"Antal, Asztrik; Vereb, György","Adamkó, Attila",2022,2437/332255,https://dea.lib.unideb.hu/handle/2437/332255
Vállalati webalkalmazás fejlesztése IoT eszközökhöz,"Pál, Marcell Kristóf; Lovas, Rita Barbara","Adamkó, Attila",2021,2437/307550,https://dea.lib.unideb.hu/handle/2437/307550
Webes alkalmazás fejlesztés JAVA-ban,"Barócsi, Norbert József","Adamkó, Attila",2020,2437/285823,https://dea.lib.unideb.hu/handle/2437/285823
Webáruház alkalmazásának fejlesztése Android operációs rendszerre,"Varga, Zsolt","Adamkó, Attila",2021,2437/307730,https://dea.lib.unideb.hu/handle/2437/307730
Étterem támogató alkalmazás,"Czinke, Márton","Adamkó, Attila",2021,2437/325810,https://dea.lib.unideb.hu/handle/2437/325810
Fitnesz alkalmazás fejlesztése Java platformon,"Fenyvesi, Mátyás","Adamkó, Attila; Kusper, Gábor",2022,2437/332303,https://dea.lib.unideb.hu/handle/2437/332303
Videokonferencia alkalmazás létrehozása WebRTC alapokon és QoS tulajdonságainak elemzése,"Balyi, Viktor","Adamkó, Attila; Mészáros, Mihály Szabolcs",2022,2437/340763,https://dea.lib.unideb.hu/handle/2437/340763
Webes kérdőív alkalmazás fejlesztése,"Rácz, András István","Adamkó, Attila; Tajti, Tibor Gábor",2023,2437/350507,https://dea.lib.unideb.hu/handle/2437/350507
A BaseQuest logikai játék elkészítése Android platformon,"Tarr, Bence","Aszalós, László",2015,2437/212543,https://dea.lib.unideb.hu/handle/2437/212543
Kétszemélyes játék fejlesztése Android operációs rendszerre,"Szűcs, Marcell","Aszalós, László",2020,2437/298574,https://dea.lib.unideb.hu/handle/2437/298574
Szakköri alkalmazás,"Harangi, Lajos","Aszalós, László",2021,2437/309009,https://dea.lib.unideb.hu/handle/2437/309009
Adatbázis alapú alkalmazás fejlesztése Borland Delphi környezetben,"Molnár, János","Bajalinov, Erik",2010-06-04T08:43:29Z,2437/97115,https://dea.lib.unideb.hu/handle/2437/97115
Adatbázis alapú alkalmazás fejlesztése Delphi rendszerben,"Rácz, Csaba","Bajalinov, Erik",2007-01-25T11:02:51Z,2437/820,https://dea.lib.unideb.hu/handle/2437/820
Adatbázis alapú alkalmazás fejlesztése Delphiben,"Lukács, Sándor","Bajalinov, Erik",2007-05-11T08:08:31Z,2437/2249,https://dea.lib.unideb.hu/handle/2437/2249
Adatbázis-alapú alkalmazás fejlesztése Delphiben,"Nagy, János","Bajalinov, Erik",2007-01-19T14:54:05Z,2437/737,https://dea.lib.unideb.hu/handle/2437/737
Adatbázis-alapú alkalmazás-fejlesztés Board Delphiben,"Nagy, Annamária","Bajalinov, Erik",2006-08-01T12:26:48Z,2437/297,https://dea.lib.unideb.hu/handle/2437/297
Adatbázis-alapú alkalmazás-fejlesztés Borland Delphiben,"Zakor, Szilárd","Bajalinov, Erik",2008-04-28T06:44:22Z,2437/4156,https://dea.lib.unideb.hu/handle/2437/4156
Adatbázis-alapú alkalmazás-fejlesztés Borland Delphiben,"Károly, Berecz","Bajalinov, Erik",2009-11-16T08:16:46Z,2437/90102,https://dea.lib.unideb.hu/handle/2437/90102
Webes Alkalmazás-fejlesztés Borland Delphiben,"Szabó, Zsolt","Bajalinov, Erik",2007-05-29T08:21:38Z,2437/2369,https://dea.lib.unideb.hu/handle/2437/2369
WebGIS alkalmazás fejlesztése talajkémiai paraméterek vízminőségének meghatározásához és vizualizációjához,"Tari, Levente","Balla, Dániel Zoltán",2025,2437/387487,https://dea.lib.unideb.hu/handle/2437/387487
Alkalmazásfejlesztés Android platformra,"Busák, Zoltán","Balla, Tibor",2017,2437/245950,https://dea.lib.unideb.hu/handle/2437/245950
Alkalmazásfejlesztés Android platformra,"Bagi, Péter","Balla, Tibor",2015,2437/220546,https://dea.lib.unideb.hu/handle/2437/220546
Android alapú alkalmazásfejlesztés a köznevelésben,"Somogyi, István","Balla, Tibor",2017,2437/246311,https://dea.lib.unideb.hu/handle/2437/246311
Crowdsourcing alkalmazás fejlesztése Android platformra,"Salagvárdi, Tibor","Balla, Tibor",2015,2437/213101,https://dea.lib.unideb.hu/handle/2437/213101
Digitális sziklamászó kalauz android platformra,"Hepp, Olivér","Balla, Tibor",2015,2437/211841,https://dea.lib.unideb.hu/handle/2437/211841
Elveszett kutya kereső alkalmazás fejlesztése Android platformra,"Turi, Lajos Gergő","Balla, Tibor",2016,2437/233071,https://dea.lib.unideb.hu/handle/2437/233071
Helymeghatározás alapú apróhirdetést támogató  alkalmazás fejlesztése Android platformra,"Pusinszky, Viktor","Balla, Tibor",2017,2437/239970,https://dea.lib.unideb.hu/handle/2437/239970
Híraggregátor portál alkalmazás fejlesztése,"Paládi, Ádám","Balla, Tibor",2018,2437/259735,https://dea.lib.unideb.hu/handle/2437/259735
Intelligens világításkapcsoló vezérlése Android alkalmazással,"Bertalan, Ádám","Balla, Tibor",2017,2437/239077,https://dea.lib.unideb.hu/handle/2437/239077
Közösségi útitárskereső rendszer megvalósítása Android platformon,"Szentpéteri, Nándor","Balla, Tibor",2015,2437/220281,https://dea.lib.unideb.hu/handle/2437/220281
Nagyvállalati környezetben történő teszt automatizálást elősegítő java alapú web alkalmazás készítése,"Varga, Zoltán","Balla, Tibor",2017,2437/245981,https://dea.lib.unideb.hu/handle/2437/245981
Optikai karakterfelismerő módszerek gyakorlati alkalmazási lehetőségei Android platformon,"Csáki, Gergő","Balla, Tibor",2014-05-08T14:00:44Z,2437/191730,https://dea.lib.unideb.hu/handle/2437/191730
Tabulatúrák interaktív vizualizációja egy közösségi alkalmazás megvalósításában,"Takács, Tamás","Balla, Tibor",2017,2437/239096,https://dea.lib.unideb.hu/handle/2437/239096
Önkéntes munkavállalást támogató alkalmazás fejlesztése Java platformon,"Kövér, Gergely István","Balla, Tibor",2016,2437/232720,https://dea.lib.unideb.hu/handle/2437/232720
RESTful szolgáltatások használata mobil és webes alkalmazásokkal,"Tóth, Dániel","Balla, Tibor; Zelei, Attila",2016,2437/227432,https://dea.lib.unideb.hu/handle/2437/227432
C++ alapú MPS feldolgozó alkalmazás,"Mátyus, Veronika","Bekéné Rácz, Anett",2011-05-02T07:25:47Z,2437/105528,https://dea.lib.unideb.hu/handle/2437/105528
Alkalmazás fejlesztése a Blue Prism folyamatmodellezés támogatásához,"Tóth, Péter","Bertók, Csanád",2021,2437/308176,https://dea.lib.unideb.hu/handle/2437/308176
Android alkalmazás fejlesztése e-sport adminisztrációs rendszerhez,"Lovas, Rita Barbara","Besenczi, Renátó",2019,2437/266309,https://dea.lib.unideb.hu/handle/2437/266309
Az ötlettől a megvalósításig - Android játékfejlesztés Unity-ben,"Szabó, Ákos","Besenczi, Renátó",2021,2437/306191,https://dea.lib.unideb.hu/handle/2437/306191
E-sport adminisztrációs asztali alkalmazás készítése Java nyelven,"Pénzes, Roland","Besenczi, Renátó",2019,2437/266438,https://dea.lib.unideb.hu/handle/2437/266438
Gaming képességeket felmérő C# alkalmazás,"Szabó, Patrik","Besenczi, Renátó",2022,2437/340122,https://dea.lib.unideb.hu/handle/2437/340122
iOS alkalmazás fejlesztése e-sport adminisztációs rendszerhez,"Magyar, Tamás","Besenczi, Renátó",2019,2437/267023,https://dea.lib.unideb.hu/handle/2437/267023
Okos étterem alkalmazás fejlesztése,"Czevár, István","Besenczi, Renátó",2020,2437/298956,https://dea.lib.unideb.hu/handle/2437/298956
Smart home mobilapplikációs rendszerek fejlesztése,"Kocsis, Kamilla Vivien","Besenczi, Renátó",2022,2437/339709,https://dea.lib.unideb.hu/handle/2437/339709
2D mobilalkalmazás fejlesztése Unity játékmotorral,"Taradáj, Valentin","Biró, Piroska",2024,2437/365921,https://dea.lib.unideb.hu/handle/2437/365921
7GeoQuiz alkalmazás fejlesztése,"Kürti, Csongor Zoltán","Biró, Piroska",2019,2437/266777,https://dea.lib.unideb.hu/handle/2437/266777
"A Facebook, mint oktatási eszköz és WLAN Facebook oktató alkalmazás","Tóth, Péter","Biró, Piroska",2012-11-22T07:51:19Z,2437/152983,https://dea.lib.unideb.hu/handle/2437/152983
Android adattitkosító alkalmazás fejlesztése,"Kátai, Patrik","Biró, Piroska",2022,2437/331998,https://dea.lib.unideb.hu/handle/2437/331998
Android alapú alkalmazásfejlesztés,"Vég, Tamás László","Biró, Piroska",2015,2437/220483,https://dea.lib.unideb.hu/handle/2437/220483
Android alkalmazás az élelmiszer-hulladék keletkezésének megelőzésére,"Udvardy, Márton László","Biró, Piroska",2021,2437/325491,https://dea.lib.unideb.hu/handle/2437/325491
Android az autóban,"Hegedűs, Levente","Biró, Piroska",2016,2437/225321,https://dea.lib.unideb.hu/handle/2437/225321
Android mobilalkalmazás fejlesztése: Fitness Guide,"Fajszi, Ádám","Biró, Piroska",2024,2437/374456,https://dea.lib.unideb.hu/handle/2437/374456
Android táblarendszerű lista- és feladatkezelő alkalmazás,"Délczeg, Sándor Balázs","Biró, Piroska",2026,2437/404435,https://dea.lib.unideb.hu/handle/2437/404435
Az asztalitenisz sportot támogató mobil alkalmazás fejlesztése,"Hosszú, Szilárd József","Biró, Piroska",2022,2437/330990,https://dea.lib.unideb.hu/handle/2437/330990
Az iOS fejlesztés bemutatása egy költségvetés szervező alkalmazás fejlesztésén keresztül,"Eszenyi, Gábor","Biró, Piroska",2018,2437/251869,https://dea.lib.unideb.hu/handle/2437/251869
Be Ready For Easy Life Android alkalmazás,"Kozma, Richárd","Biró, Piroska",2020,2437/286938,https://dea.lib.unideb.hu/handle/2437/286938
Beekeeper alkalmazás fejlesztése méhészetek számára,"Király, Balázs","Biró, Piroska",2023,2437/350670,https://dea.lib.unideb.hu/handle/2437/350670
Befektetés a jövőbe egy mobilalkalmazás segítségével,"Harmati, Norbert Márk","Biró, Piroska",2021,2437/306042,https://dea.lib.unideb.hu/handle/2437/306042
Classic Buddy mobilalkalmazás,"Égerházi, Péter","Biró, Piroska",2024,2437/365910,https://dea.lib.unideb.hu/handle/2437/365910
Connect four Android alkalmazás,"Pallai, Gergő","Biró, Piroska",2017,2437/238412,https://dea.lib.unideb.hu/handle/2437/238412
DigiList – Intelligens bevásárlólista alkalmazás mobilplatformra React Native és Firebase alapokon,"Labbancz, Balázs Márk","Biró, Piroska",2026,2437/413261,https://dea.lib.unideb.hu/handle/2437/413261
E-commerce mobilalkalmazás fejlesztése React Native keretrendszerrel,"Molnár, Zoltán","Biró, Piroska",2022,2437/330919,https://dea.lib.unideb.hu/handle/2437/330919
Emlékeztető alkalmazás szorongás csökkentésére elő-értesítéssel Android környezetben,"Sztanojev, Péter","Biró, Piroska",2020,2437/299036,https://dea.lib.unideb.hu/handle/2437/299036
Escape from Ocean mobil alkalmazás fejlesztése,"Márton, Ákos","Biró, Piroska",2019,2437/277074,https://dea.lib.unideb.hu/handle/2437/277074
Eseménymegosztó mobilalkalmazás fejlesztése Kotlin nyelven,"Deák, Eszter","Biró, Piroska",2026,2437/404432,https://dea.lib.unideb.hu/handle/2437/404432
F1 Race Tracker mobilalkalmazás fejlesztése,"Kemecsei, Márk","Biró, Piroska",2026,2437/413263,https://dea.lib.unideb.hu/handle/2437/413263
Filmértékelő mobilalkalmazás fejlesztése,"Kalmár, Patrik László","Biró, Piroska",2021,2437/306419,https://dea.lib.unideb.hu/handle/2437/306419
Fitness for Fine android alkalmazás,"Barna, Vilmos","Biró, Piroska",2020,2437/285967,https://dea.lib.unideb.hu/handle/2437/285967
FitnessAnywhere Android alapú alkalmazás fejlesztése,"Forgács, László","Biró, Piroska",2020,2437/286910,https://dea.lib.unideb.hu/handle/2437/286910
Fittárs android alkalmazás közösségi sportoláshoz,"Boros, Gergő","Biró, Piroska",2017,2437/238910,https://dea.lib.unideb.hu/handle/2437/238910
Gamifikált fitnesz mobil alkalmazás,"Abari, Gergő","Biró, Piroska",2026,2437/413259,https://dea.lib.unideb.hu/handle/2437/413259
Gépi tanulás szolgáltatás fejlesztése diagnosztikai céllal mobil platformra,"Szabó, Máté","Biró, Piroska",2018,2437/250467,https://dea.lib.unideb.hu/handle/2437/250467
Háztartáskezelő Android alkalmazás fejlesztése,"Bellér, Csaba","Biró, Piroska",2024,2437/374458,https://dea.lib.unideb.hu/handle/2437/374458
Idegen nyelvtanulást segítő mobilalkalmazás fejlesztése,"Sarbak, Márkó","Biró, Piroska",2026,2437/413260,https://dea.lib.unideb.hu/handle/2437/413260
"Informatikai szakmai napok Android alkalmazás: Cégek, Térkép és bejelentkező felület","Boros, Dániel Tibor","Biró, Piroska",2019,2437/266428,https://dea.lib.unideb.hu/handle/2437/266428
Információk a Naprendszerről iOS alkalmazásban,"Karpács, István","Biró, Piroska",2022,2437/331110,https://dea.lib.unideb.hu/handle/2437/331110
Keresztplatformos mobilalkalmazás fejlesztése Xamarin keretrendszerrel egészség és fitnesz témában,"Lőrincz, Péter Pál","Biró, Piroska",2018,2437/259637,https://dea.lib.unideb.hu/handle/2437/259637
Kiterjesztett valóság mobil alkalmazásokban,"Pete, Zsolt","Biró, Piroska",2019,2437/266966,https://dea.lib.unideb.hu/handle/2437/266966
Klikkelő játék fejlesztése Android platformra,"György, Richárd","Biró, Piroska",2021,2437/306572,https://dea.lib.unideb.hu/handle/2437/306572
Kutyakiképzést támogató mobilalkalmazás fejlesztése,"Balogh, Boglárka","Biró, Piroska",2026,2437/404433,https://dea.lib.unideb.hu/handle/2437/404433
Költségnyilvántartó alkalmazás fejlesztése Androidra,"Mag, Tamás","Biró, Piroska",2020,2437/286256,https://dea.lib.unideb.hu/handle/2437/286256
Közösségi média applikáció készítése Android platformra,"Vitéz, Márk","Biró, Piroska",2021,2437/308324,https://dea.lib.unideb.hu/handle/2437/308324
"Mobil alkalmazás fejlesztése a horgászok számára: horgászhelyek felvétele, keresése, halfajok és módszerek ismertetése","Ivány, Adrián","Biró, Piroska",2025,2437/387392,https://dea.lib.unideb.hu/handle/2437/387392
Mobil alkalmazások fejlesztése,"Cselle, Lajos","Biró, Piroska",2016,2437/227081,https://dea.lib.unideb.hu/handle/2437/227081
Mobil Alkalmazások és a Közösségi Média: Kapcsolatuk és Felhasználói Elvárások,"Balogh, Dávid","Biró, Piroska",2024,2437/374459,https://dea.lib.unideb.hu/handle/2437/374459
Nyelvtanulást segítő mobil applikáció fejlesztése Android rendszerre,"Dobi, Gergő","Biró, Piroska",2020,2437/298782,https://dea.lib.unideb.hu/handle/2437/298782
Online Napló alkalmazás fejlesztése Android eszközre,"Fehér, Gergő","Biró, Piroska",2022,2437/339837,https://dea.lib.unideb.hu/handle/2437/339837
"Otthoni könyv, CD és DVD nyilvántartó mobil alkalmazás","Osztós, Zsombor","Biró, Piroska",2023,2437/351169,https://dea.lib.unideb.hu/handle/2437/351169
Platformfüggetlen mobil alkalmazások fejlesztésének lehetőségei,"Rácz, Zoltán","Biró, Piroska",2017,2437/238711,https://dea.lib.unideb.hu/handle/2437/238711
Programozás Mobil eszközökkel,"Biró, Máté László; Szilágyi, Csaba Nándor","Biró, Piroska",2019,2437/276833,https://dea.lib.unideb.hu/handle/2437/276833
Recept ajánló és menedzselő mobilalkalmazás fejlesztése Java nyelven,"Széles, Bence Dávid","Biró, Piroska",2026,2437/413265,https://dea.lib.unideb.hu/handle/2437/413265
Rendezvényszervező mobilalkalmazás fejlesztése eseménykezelési és értesítési funkciókkal,"Kiss, József Dániel","Biró, Piroska",2026,2437/413264,https://dea.lib.unideb.hu/handle/2437/413264
Rest API és React Native segítségével mobil alkalmazás fejlesztés,"Szabó, Levente Edvárd","Biró, Piroska",2020,2437/285962,https://dea.lib.unideb.hu/handle/2437/285962
RockFall: 2D platformjáték fejlesztése Android operációs rendszerre,"Lizak, Fabio","Biró, Piroska",2020,2437/285821,https://dea.lib.unideb.hu/handle/2437/285821
Second Brain naptár alkalmazás fejlesztése,"Eszenyi, László","Biró, Piroska",2017,2437/245534,https://dea.lib.unideb.hu/handle/2437/245534
Sejtautomaták implementációja Android rendszeren,"Mészáros, Dominik","Biró, Piroska",2025,2437/387390,https://dea.lib.unideb.hu/handle/2437/387390
Self-manager android alkalmazás,"Szabó, Márton","Biró, Piroska",2019,2437/276796,https://dea.lib.unideb.hu/handle/2437/276796
Sorozatfigyelő mobilalkalmazás fejlesztése Android platformra,"Nagy, Viktória","Biró, Piroska",2026,2437/404434,https://dea.lib.unideb.hu/handle/2437/404434
Tanteremkereső alkalmazás Android platformra,"Koncz, Máté Ferenc","Biró, Piroska",2016,2437/225676,https://dea.lib.unideb.hu/handle/2437/225676
UniSeek – Mobil alkalmazás fejlesztés az elveszett tárgyak kezelésére,"Székely, Ádám","Biró, Piroska",2025,2437/394801,https://dea.lib.unideb.hu/handle/2437/394801
UniSlido iOS alkalmazás,"Kapi, Zoltán Erik","Biró, Piroska",2019,2437/276649,https://dea.lib.unideb.hu/handle/2437/276649
Vércukornapló alkalmazás fejlesztése cukorbetegek számára,"Portik, Örs","Biró, Piroska",2024,2437/374460,https://dea.lib.unideb.hu/handle/2437/374460
Árfigyelő alkalmazás fejlesztése Android eszközre,"Mászlai, Zsanett","Biró, Piroska",2023,2437/349975,https://dea.lib.unideb.hu/handle/2437/349975
Alkalmazás fejlesztés JAVA nyelven,"Tóth, Antal Lajos","Boda, István",2008-04-30T07:30:02Z,2437/4534,https://dea.lib.unideb.hu/handle/2437/4534
Alkalmazás fejlesztés Java nyelven,"Kotsis, Attila","Boda, István",2007-05-15T09:09:15Z,2437/2259,https://dea.lib.unideb.hu/handle/2437/2259
Könyvtári alkalmazás fejlesztés,"Mátyusné Szabó, Adrienn","Boda, István",2008-06-02T13:10:56Z,2437/5477,https://dea.lib.unideb.hu/handle/2437/5477
MARC rekordok feldolgozása Java alkalmazás segítségével,"Kovács, Krisztián","Boda, István",2010-05-14T09:12:02Z,2437/96339,https://dea.lib.unideb.hu/handle/2437/96339
Alkalmazás fejlesztés Lotus Notes alapokon,"Sarkadi, Csaba","Bodroginé Zichar, Marianna",2009-05-07T06:21:08Z,2437/85396,https://dea.lib.unideb.hu/handle/2437/85396
"Android alkalmazással vezérelhető elektromos autó, mikrokontroller segítségével","Tóth, Tamás","Buchman, Attila",2025,2437/395082,https://dea.lib.unideb.hu/handle/2437/395082
Automatikus intelligens növénynevelő/gondozó rendszer mobil app vezérléssel,"József, Csaba András","Buchman, Attila",2025,2437/395081,https://dea.lib.unideb.hu/handle/2437/395081
"IoT jellegű, RFID alapú leltározás SQL szerverre","Koncz, Tamás","Buchman, Attila",2015,2437/212555,https://dea.lib.unideb.hu/handle/2437/212555
Jelenlét érzékelés Android eszköz használatával,"Csáki, Gergely","Buchman, Attila",2015,2437/203228,https://dea.lib.unideb.hu/handle/2437/203228
Munkaállomás biztosítása Android eszköz használatával és optikai követő algoritmussal,"Csáki, Gergely","Buchman, Attila",2015,2437/220580,https://dea.lib.unideb.hu/handle/2437/220580
Otthoni intelligens LED világítás távoli szabályozása mikrokontroller és mobil applikáció segítségével,"Poroszka, János","Buchman, Attila",2017,2437/246265,https://dea.lib.unideb.hu/handle/2437/246265
Okos Otthon modellezése Arduino kártya és mobilalkalmazás segítségével,"Csuzi, Csongor József","Buchmann, Attila",2024,2437/365908,https://dea.lib.unideb.hu/handle/2437/365908
Mikrotanulást támogató applikáció digitális marketing kampányának kidolgozása,"Lippei, László Dániel","Bujdosó, Gyöngyi",2026,2437/404369,https://dea.lib.unideb.hu/handle/2437/404369
Mobil weboldalak fejlesztése,"Maier, Erik","Bujdosó, Gyöngyi",2012-12-06T10:24:27Z,2437/153826,https://dea.lib.unideb.hu/handle/2437/153826
Alkalmazásfejlesztés nyílt forráskódú mobil operációsrendszerre,"Zelei, Attila","Bátfai, Norbert",2011-05-09T07:28:50Z,2437/106005,https://dea.lib.unideb.hu/handle/2437/106005
Android alkalmazásfejlesztés,"Boros, Norbert","Bátfai, Norbert",2015,2437/212538,https://dea.lib.unideb.hu/handle/2437/212538
Hálózati alkalmazás fejlesztése Motorola Accompli A008 Javaképes mobiltelefonra,"Fekete, Dániel","Bátfai, Norbert",2007-02-20T09:34:47Z,2437/1172,https://dea.lib.unideb.hu/handle/2437/1172
Háromrétegű webes alkalmazás fejlesztése,"Kapta, Krisztián","Bátfai, Norbert",2007-01-30T14:41:19Z,2437/855,https://dea.lib.unideb.hu/handle/2437/855
J2ME MIDP alkalmazás fejlesztése,"Varga, Dénes","Bátfai, Norbert",2007-03-21T16:20:10Z,2437/1369,https://dea.lib.unideb.hu/handle/2437/1369
J2ME MIDP alkalmazás fejlesztése,"Karády, Péter","Bátfai, Norbert",2007-01-30T15:44:01Z,2437/858,https://dea.lib.unideb.hu/handle/2437/858
mBusines alkalmazás fejlesztése JAVA2 Micro Edition platform segítségével,"Arnódi, Róbert","Bátfai, Norbert",2007-02-15T15:50:19Z,2437/1136,https://dea.lib.unideb.hu/handle/2437/1136
Mobil alkalmazás fejlesztése,"Olajos, Mihály","Bátfai, Norbert",2009-05-13T08:04:34Z,2437/85659,https://dea.lib.unideb.hu/handle/2437/85659
Mobil alkalmazás fejlesztése Java-ban,"Király, Edit","Bátfai, Norbert",2008-05-05T09:43:56Z,2437/4711,https://dea.lib.unideb.hu/handle/2437/4711
Mobil alkalmazásfejlesztő platformok összehasonlítása,"Zelenák, Zoltán","Bátfai, Norbert",2010-05-14T09:58:47Z,2437/96349,https://dea.lib.unideb.hu/handle/2437/96349
Mobil alkalmazásfejlesztő platformok összehasonlítása,"Györfi, Zsófia","Bátfai, Norbert",2013-12-04T10:18:02Z,2437/177370,https://dea.lib.unideb.hu/handle/2437/177370
Navigációs alkalmazás fejlesztése Androidos eszközre,"Tari, István","Bátfai, Norbert",2012-05-16T13:38:11Z,2437/129043,https://dea.lib.unideb.hu/handle/2437/129043
Szabadon választható J2ME/MIDP alkalmazás fejlesztése Motorola A008 telefonra,"Pálosi, József","Bátfai, Norbert",2007-03-21T16:40:03Z,2437/1371,https://dea.lib.unideb.hu/handle/2437/1371
Szabadon választott alkalmazás készítése PALM-ra,"Veres, Péter","Bátfai, Norbert",2006-06-08T15:47:41Z,2437/73,https://dea.lib.unideb.hu/handle/2437/73
Szabadon választott CORBA alapú alkalmazás fejlesztése Java környezetben,"Tóth, Attila Zoltán","Bátfai, Norbert",2007-02-01T15:02:46Z,2437/915,https://dea.lib.unideb.hu/handle/2437/915
Szabadon választott hálózati J2ME/MIDP alkalmazás fejlesztése,"Novák, György","Bátfai, Norbert",2007-01-31T15:51:21Z,2437/888,https://dea.lib.unideb.hu/handle/2437/888
Szabadon választott J2ME/MIDP alkalmazás fejlesztése,"Pári, Csaba","Bátfai, Norbert",2006-06-14T12:23:44Z,2437/107,https://dea.lib.unideb.hu/handle/2437/107
Szabadon választott WAP-os alkalmazás fejlesztése,"Ujfalusi, Sándor","Bátfai, Norbert",2006-07-21T07:29:33Z,2437/212,https://dea.lib.unideb.hu/handle/2437/212
Alkalmazásfejlesztés Android platformra,"Kovács, Szilárd","Bátfai, Norbert; Szabó, Ákos",2011-05-03T09:34:38Z,2437/105627,https://dea.lib.unideb.hu/handle/2437/105627
3Ds tünetellenőrző alkalmazás Android platformra,"Ecsedi, László","Bérczes, Tamás",2014,2437/202863,https://dea.lib.unideb.hu/handle/2437/202863
Android alkalmazás fejlesztés,"Hermann, Ákos","Bérczes, Tamás",2019,2437/277207,https://dea.lib.unideb.hu/handle/2437/277207
Android alkalmazás fejlesztése,"Nagy, Attila","Bérczes, Tamás",2021,2437/306331,https://dea.lib.unideb.hu/handle/2437/306331
